var1,var2,correlation
poverty,poverty,1
poverty,linguistically_isolated,NA
poverty,children_disability,NA
poverty,vulnerable_job,NA
poverty,single_parent,NA
poverty,crowded_conditions,NA
poverty,no_computer_internet,NA
linguistically_isolated,poverty,0.11936908266798127
linguistically_isolated,linguistically_isolated,1
linguistically_isolated,children_disability,NA
linguistically_isolated,vulnerable_job,NA
linguistically_isolated,single_parent,NA
linguistically_isolated,crowded_conditions,NA
linguistically_isolated,no_computer_internet,NA
children_disability,poverty,0.07783964548384228
children_disability,linguistically_isolated,-0.06738913691165989
children_disability,children_disability,1
children_disability,vulnerable_job,NA
children_disability,single_parent,NA
children_disability,crowded_conditions,NA
children_disability,no_computer_internet,NA
vulnerable_job,poverty,0.02459767884586939
vulnerable_job,linguistically_isolated,0.11824222373844488
vulnerable_job,children_disability,0.25871786529129465
vulnerable_job,vulnerable_job,1
vulnerable_job,single_parent,NA
vulnerable_job,crowded_conditions,NA
vulnerable_job,no_computer_internet,NA
single_parent,poverty,0.3901284108758714
single_parent,linguistically_isolated,0.0087949781166604
single_parent,children_disability,0.16366269271269926
single_parent,vulnerable_job,0.3932423199153505
single_parent,single_parent,1
single_parent,crowded_conditions,NA
single_parent,no_computer_internet,NA
crowded_conditions,poverty,0.022757939158912107
crowded_conditions,linguistically_isolated,0.3438567875876849
crowded_conditions,children_disability,0.04101609928981639
crowded_conditions,vulnerable_job,0.0941025371700856
crowded_conditions,single_parent,0.1599699072662527
crowded_conditions,crowded_conditions,1
crowded_conditions,no_computer_internet,NA
no_computer_internet,poverty,0.5266620379397066
no_computer_internet,linguistically_isolated,0.33058057166589494
no_computer_internet,children_disability,-0.12476184728722589
no_computer_internet,vulnerable_job,-0.16882632070285172
no_computer_internet,single_parent,0.07612546323239693
no_computer_internet,crowded_conditions,0.31513816535008693
no_computer_internet,no_computer_internet,1
