var1,var2,correlation
poverty,poverty,1
poverty,linguistically_isolated,NA
poverty,children_disability,NA
poverty,vulnerable_job,NA
poverty,single_parent,NA
poverty,crowded_conditions,NA
poverty,no_computer_internet,NA
linguistically_isolated,poverty,0.21840212292690947
linguistically_isolated,linguistically_isolated,1
linguistically_isolated,children_disability,NA
linguistically_isolated,vulnerable_job,NA
linguistically_isolated,single_parent,NA
linguistically_isolated,crowded_conditions,NA
linguistically_isolated,no_computer_internet,NA
children_disability,poverty,0.17909753737236211
children_disability,linguistically_isolated,-0.06772227959814657
children_disability,children_disability,1
children_disability,vulnerable_job,NA
children_disability,single_parent,NA
children_disability,crowded_conditions,NA
children_disability,no_computer_internet,NA
vulnerable_job,poverty,0.10900846978225455
vulnerable_job,linguistically_isolated,0.27761631672364867
vulnerable_job,children_disability,0.1769599472840471
vulnerable_job,vulnerable_job,1
vulnerable_job,single_parent,NA
vulnerable_job,crowded_conditions,NA
vulnerable_job,no_computer_internet,NA
single_parent,poverty,0.4942819928678168
single_parent,linguistically_isolated,0.11259268232012949
single_parent,children_disability,0.28691106181733916
single_parent,vulnerable_job,0.48622837287958054
single_parent,single_parent,1
single_parent,crowded_conditions,NA
single_parent,no_computer_internet,NA
crowded_conditions,poverty,0.13652017987359555
crowded_conditions,linguistically_isolated,0.25215250173059306
crowded_conditions,children_disability,-0.010218591273904246
crowded_conditions,vulnerable_job,-0.05968552131321749
crowded_conditions,single_parent,0.2236210236029082
crowded_conditions,crowded_conditions,1
crowded_conditions,no_computer_internet,NA
no_computer_internet,poverty,0.3734140960845636
no_computer_internet,linguistically_isolated,0.3134900880580632
no_computer_internet,children_disability,-0.1126658903723778
no_computer_internet,vulnerable_job,-0.1251258450053342
no_computer_internet,single_parent,0.116262415481485
no_computer_internet,crowded_conditions,0.4781860049866523
no_computer_internet,no_computer_internet,1
