var1,var2,correlation
poverty,poverty,1
poverty,linguistically_isolated,NA
poverty,children_disability,NA
poverty,vulnerable_job,NA
poverty,single_parent,NA
poverty,crowded_conditions,NA
poverty,no_computer_internet,NA
linguistically_isolated,poverty,0.18110735583062706
linguistically_isolated,linguistically_isolated,1
linguistically_isolated,children_disability,NA
linguistically_isolated,vulnerable_job,NA
linguistically_isolated,single_parent,NA
linguistically_isolated,crowded_conditions,NA
linguistically_isolated,no_computer_internet,NA
children_disability,poverty,0.562606139876656
children_disability,linguistically_isolated,-0.08531807907109391
children_disability,children_disability,1
children_disability,vulnerable_job,NA
children_disability,single_parent,NA
children_disability,crowded_conditions,NA
children_disability,no_computer_internet,NA
vulnerable_job,poverty,0.28679288634836164
vulnerable_job,linguistically_isolated,0.09440777393022497
vulnerable_job,children_disability,0.24046429241295147
vulnerable_job,vulnerable_job,1
vulnerable_job,single_parent,NA
vulnerable_job,crowded_conditions,NA
vulnerable_job,no_computer_internet,NA
single_parent,poverty,0.7318815795140844
single_parent,linguistically_isolated,0.029320710788024965
single_parent,children_disability,0.56132739921118
single_parent,vulnerable_job,0.3296523331807743
single_parent,single_parent,1
single_parent,crowded_conditions,NA
single_parent,no_computer_internet,NA
crowded_conditions,poverty,0.3930847395133605
crowded_conditions,linguistically_isolated,0.48222478492337
crowded_conditions,children_disability,0.07183910360638575
crowded_conditions,vulnerable_job,0.16371904060379153
crowded_conditions,single_parent,0.21974728546172276
crowded_conditions,crowded_conditions,1
crowded_conditions,no_computer_internet,NA
no_computer_internet,poverty,0.4941389026511058
no_computer_internet,linguistically_isolated,0.38653232650619246
no_computer_internet,children_disability,0.1100182147189962
no_computer_internet,vulnerable_job,0.09288074560138197
no_computer_internet,single_parent,0.1316953843747038
no_computer_internet,crowded_conditions,0.5246952222449608
no_computer_internet,no_computer_internet,1
